language,item_type,text,pronunciation,vietnamese_meaning,example,example_vietnamese,topic,situation,difficulty,frequency_level,notes
en,VOCABULARY,from,/frəm/,từ,I am from Vietnam.,Tôi đến từ Việt Nam.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,with,/wɪθ/,với,Come with me.,Đi với tôi.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,for,/fər/,cho,This is for you.,Cái này dành cho bạn.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,of,/əv/,của,"A cup of tea, please.",Cho một tách trà.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,by,/baɪ/,"bằng, bởi",I go by bus.,Tôi đi bằng xe buýt.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,about,/əˈbaʊt/,về,Tell me about it.,Kể cho tôi nghe về nó.,Communication,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,up,/əp/,lên,She did it up.,Cô ấy làm điều đó lên.,Daily Life,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,down,/daʊn/,xuống,He works down.,Anh ấy làm việc xuống.,Daily Life,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,out,/aʊt/,ra ngoài,He works out.,Anh ấy làm việc ra ngoài.,Daily Life,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,over,/ˈoʊvər/,"ở trên, qua",The bird flew over the house.,Con chim bay qua ngôi nhà.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,under,/ˈəndər/,ở dưới,The cat is under the table.,Con mèo ở dưới cái bàn.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,near,/nɪr/,gần,The shop is near my house.,Cửa hàng ở gần nhà tôi.,Daily Life,,Beginner,Very High,preposition - core preposition
en,VOCABULARY,hello,/hɛˈloʊ/,xin chào,"Hello, how are you?","Xin chào, bạn khỏe không?",Communication,,Beginner,Very High,phrase - useful phrase
en,VOCABULARY,hi,/haɪ/,chào,"Hi, nice to meet you.","Chào, rất vui được gặp bạn.",Communication,,Beginner,Very High,phrase - useful phrase
en,VOCABULARY,goodbye,/ˌɡʊdˈbaɪ/,tạm biệt,"Goodbye, see you soon.","Tạm biệt, hẹn gặp lại.",Communication,,Beginner,Very High,phrase - useful phrase
en,VOCABULARY,bye,/baɪ/,tạm biệt,"Bye, take care.","Tạm biệt, giữ gìn sức khỏe.",Communication,,Beginner,Very High,phrase - useful phrase
en,VOCABULARY,please,/pliz/,làm ơn,Please help me.,Làm ơn giúp tôi.,Communication,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,thanks,/θæŋks/,cảm ơn,Thanks a lot.,Cảm ơn nhiều.,Communication,,Beginner,Very High,phrase - useful phrase
en,VOCABULARY,sorry,/ˈsɑri/,xin lỗi,"Sorry, I am late.","Xin lỗi, tôi đến muộn.",Communication,,Beginner,Very High,phrase - useful phrase
en,VOCABULARY,yes,/jɛs/,"vâng, có","Yes, I agree.","Vâng, tôi đồng ý.",Communication,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,no,/noʊ/,không,"No, thank you.","Không, cảm ơn.",Communication,,Beginner,Very High,adverb - common adverb
en,VOCABULARY,ok,/ˈoʊˈkeɪ/,"được, ổn","OK, let's go.","Được, đi thôi.",Communication,,Beginner,Very High,phrase - useful phrase
en,VOCABULARY,can,/kən/,có thể,I can swim.,Tôi có thể bơi.,Daily Life,,Beginner,Very High,modal verb - modal verb
en,VOCABULARY,could,/kʊd/,có thể (lịch sự),Could you help me?,Bạn có thể giúp tôi không?,Daily Life,,Beginner,Very High,modal verb - modal verb
en,VOCABULARY,will,/wɪl/,sẽ,I will call you.,Tôi sẽ gọi cho bạn.,Time,,Beginner,Very High,modal verb - modal verb
en,VOCABULARY,would,/wʊd/,sẽ (lịch sự),I would like some water.,Tôi muốn một ít nước.,Communication,,Beginner,Very High,modal verb - modal verb
en,VOCABULARY,should,/ʃʊd/,nên,You should rest.,Bạn nên nghỉ ngơi.,Daily Life,,Beginner,Very High,modal verb - modal verb
en,VOCABULARY,must,/məst/,phải,You must be careful.,Bạn phải cẩn thận.,Daily Life,,Beginner,Very High,modal verb - modal verb
en,VOCABULARY,may,/meɪ/,"có thể, được phép",May I come in?,Tôi vào được không?,Daily Life,,Beginner,Very High,modal verb - modal verb
en,VOCABULARY,do,/du/,làm,Do you like tea?,Bạn có thích trà không?,Daily Life,,Beginner,Very High,auxiliary verb - auxiliary verb
en,VOCABULARY,be,/bi/,"thì, là, ở","Be quiet, please.",Hãy giữ im lặng.,Daily Life,,Beginner,Very High,auxiliary verb - auxiliary verb
en,VOCABULARY,have,/hæv/,có,I have a question.,Tôi có một câu hỏi.,Daily Life,,Beginner,Very High,auxiliary verb - auxiliary verb
en,VOCABULARY,go,/ɡoʊ/,đi,Please go now.,Hãy đi ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,come,/kəm/,đến,I want to come now.,Tôi muốn đến bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,eat,/it/,ăn,Please eat now.,Hãy ăn ngay bây giờ.,Food,,Beginner,Very High,verb - common verb
en,VOCABULARY,drink,/drɪŋk/,uống,I want to drink now.,Tôi muốn uống bây giờ.,Food,,Beginner,Very High,verb - common verb
en,VOCABULARY,sleep,/slip/,ngủ,They sleep every day.,Họ ngủ mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,wake,/weɪk/,thức dậy,Let's wake together.,Chúng ta hãy thức dậy cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,work,/wərk/,làm việc,They work every day.,Họ làm việc mỗi ngày.,Work,,Beginner,Very High,verb - common verb
en,VOCABULARY,play,/pleɪ/,chơi,They play every day.,Họ chơi mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,see,/si/,nhìn thấy,Let's see together.,Chúng ta hãy nhìn thấy cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,look,/lʊk/,nhìn,I want to look now.,Tôi muốn nhìn bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,watch,/wɔʧ/,xem,Let's watch together.,Chúng ta hãy xem cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,hear,/hir/,nghe thấy,Please hear now.,Hãy nghe thấy ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,listen,/ˈlɪsən/,lắng nghe,Let's listen together.,Chúng ta hãy lắng nghe cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,speak,/spik/,nói,Let's speak together.,Chúng ta hãy nói cùng nhau.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,talk,/tɔk/,nói chuyện,Please talk now.,Hãy nói chuyện ngay bây giờ.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,say,/seɪ/,nói,Please say now.,Hãy nói ngay bây giờ.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,tell,/tɛl/,"kể, bảo",Let's tell together.,Chúng ta hãy kể cùng nhau.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,ask,/æsk/,hỏi,They ask every day.,Họ hỏi mỗi ngày.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,answer,/ˈænsər/,trả lời,Please answer now.,Hãy trả lời ngay bây giờ.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,know,/noʊ/,biết,They know every day.,Họ biết mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,think,/θɪŋk/,nghĩ,Please think now.,Hãy nghĩ ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,feel,/fil/,cảm thấy,They feel every day.,Họ cảm thấy mỗi ngày.,Emotion,,Beginner,Very High,verb - common verb
en,VOCABULARY,want,/wɔnt/,muốn,I want some water.,Tôi muốn một ít nước.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,need,/nid/,cần,I need your help.,Tôi cần sự giúp đỡ của bạn.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,like,/laɪk/,thích,I like this song.,Tôi thích bài hát này.,Emotion,,Beginner,Very High,verb - common verb
en,VOCABULARY,love,/ləv/,yêu,I love my family.,Tôi yêu gia đình tôi.,Emotion,,Beginner,Very High,verb - common verb
en,VOCABULARY,make,/meɪk/,"làm, tạo",I make breakfast every day.,Tôi làm bữa sáng mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,take,/teɪk/,"lấy, cầm",They take every day.,Họ lấy mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,give,/ɡɪv/,"cho, đưa",They give every day.,Họ cho mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,get,/ɡɪt/,"lấy được, nhận",I get up at six.,Tôi thức dậy lúc sáu giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,put,/pʊt/,"đặt, để",Please put now.,Hãy đặt ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,find,/faɪnd/,tìm thấy,I want to find now.,Tôi muốn tìm thấy bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,buy,/baɪ/,mua,They buy every day.,Họ mua mỗi ngày.,Shopping,,Beginner,Very High,verb - common verb
en,VOCABULARY,sell,/sɛl/,bán,Let's sell together.,Chúng ta hãy bán cùng nhau.,Shopping,,Beginner,Very High,verb - common verb
en,VOCABULARY,pay,/peɪ/,trả tiền,I want to pay now.,Tôi muốn trả tiền bây giờ.,Money,,Beginner,Very High,verb - common verb
en,VOCABULARY,read,/rɛd/,đọc,Let's read together.,Chúng ta hãy đọc cùng nhau.,Study,,Beginner,Very High,verb - common verb
en,VOCABULARY,write,/raɪt/,viết,Let's write together.,Chúng ta hãy viết cùng nhau.,Study,,Beginner,Very High,verb - common verb
en,VOCABULARY,learn,/lərn/,học,They learn every day.,Họ học mỗi ngày.,Study,,Beginner,Very High,verb - common verb
en,VOCABULARY,study,/ˈstədi/,học tập,Let's study together.,Chúng ta hãy học tập cùng nhau.,Study,,Beginner,Very High,verb - common verb
en,VOCABULARY,teach,/tiʧ/,dạy,I want to teach now.,Tôi muốn dạy bây giờ.,Education,,Beginner,Very High,verb - common verb
en,VOCABULARY,open,/ˈoʊpən/,mở,They open every day.,Họ mở mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,close,/kloʊz/,đóng,Please close now.,Hãy đóng ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,start,/stɑrt/,bắt đầu,Let's start together.,Chúng ta hãy bắt đầu cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,stop,/stɑp/,dừng lại,Please stop now.,Hãy dừng lại ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,walk,/wɔk/,đi bộ,Let's walk together.,Chúng ta hãy đi bộ cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,run,/rən/,chạy,Let's run together.,Chúng ta hãy chạy cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,sit,/sɪt/,ngồi,They sit every day.,Họ ngồi mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,stand,/stænd/,đứng,Let's stand together.,Chúng ta hãy đứng cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,help,/hɛlp/,giúp đỡ,Let's help together.,Chúng ta hãy giúp đỡ cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,use,/juz/,dùng,Let's use together.,Chúng ta hãy dùng cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,call,/kɔl/,gọi,They call every day.,Họ gọi mỗi ngày.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,meet,/mit/,gặp,Let's meet together.,Chúng ta hãy gặp cùng nhau.,Social,,Beginner,Very High,verb - common verb
en,VOCABULARY,live,/lɪv/,sống,Please live now.,Hãy sống ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,stay,/steɪ/,ở lại,Let's stay together.,Chúng ta hãy ở lại cùng nhau.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,leave,/liv/,rời đi,I want to leave now.,Tôi muốn rời đi bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,wait,/weɪt/,đợi,Please wait now.,Hãy đợi ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,turn,/tərn/,"rẽ, quay",They turn every day.,Họ rẽ mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,bring,/brɪŋ/,mang đến,They bring every day.,Họ mang đến mỗi ngày.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,send,/sɛnd/,gửi,I want to send now.,Tôi muốn gửi bây giờ.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,show,/ʃoʊ/,"cho xem, chỉ",Let's show together.,Chúng ta hãy cho xem cùng nhau.,Communication,,Beginner,Very High,verb - common verb
en,VOCABULARY,try,/traɪ/,"thử, cố gắng",I want to try now.,Tôi muốn thử bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,keep,/kip/,giữ,I want to keep now.,Tôi muốn giữ bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,let,/lɛt/,"để cho, cho phép",Let me help you.,Để tôi giúp bạn.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,cook,/kʊk/,nấu ăn,They cook every day.,Họ nấu ăn mỗi ngày.,Food,,Beginner,Very High,verb - common verb
en,VOCABULARY,wash,/wɑʃ/,"rửa, giặt",Please wash now.,Hãy rửa ngay bây giờ.,Home,,Beginner,Very High,verb - common verb
en,VOCABULARY,clean,/klin/,lau dọn,They clean every day.,Họ lau dọn mỗi ngày.,Home,,Beginner,Very High,verb - common verb
en,VOCABULARY,drive,/draɪv/,lái xe,Let's drive together.,Chúng ta hãy lái xe cùng nhau.,Transportation,,Beginner,Very High,verb - common verb
en,VOCABULARY,ride,/raɪd/,"đi xe, cưỡi",They ride every day.,Họ đi xe mỗi ngày.,Transportation,,Beginner,Very High,verb - common verb
en,VOCABULARY,wear,/wɛr/,mặc,I want to wear now.,Tôi muốn mặc bây giờ.,Shopping,,Beginner,Very High,verb - common verb
en,VOCABULARY,smile,/smaɪl/,mỉm cười,Please smile now.,Hãy mỉm cười ngay bây giờ.,Emotion,,Beginner,Very High,verb - common verb
en,VOCABULARY,laugh,/læf/,cười,Let's laugh together.,Chúng ta hãy cười cùng nhau.,Emotion,,Beginner,Very High,verb - common verb
en,VOCABULARY,cry,/kraɪ/,khóc,Please cry now.,Hãy khóc ngay bây giờ.,Emotion,,Beginner,Very High,verb - common verb
en,VOCABULARY,sing,/sɪŋ/,hát,I want to sing now.,Tôi muốn hát bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,dance,/dæns/,nhảy múa,Please dance now.,Hãy nhảy múa ngay bây giờ.,Daily Life,,Beginner,Very High,verb - common verb
en,VOCABULARY,family,/ˈfæməli/,gia đình,I think this family is good.,Tôi nghĩ gia đình này tốt.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,mother,/ˈməðər/,mẹ,We talked about this mother.,Chúng tôi đã nói về mẹ này.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,father,/ˈfɑðər/,bố,This father is very important.,Bố này rất quan trọng.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,mom,/mɑm/,mẹ,We talked about this mom.,Chúng tôi đã nói về mẹ này.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,dad,/dæd/,bố,This dad is very important.,Bố này rất quan trọng.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,parent,/ˈpɛrənt/,bố mẹ,This parent is very important.,Bố mẹ này rất quan trọng.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,son,/sən/,con trai,This son is very important.,Con trai này rất quan trọng.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,daughter,/ˈdɔtər/,con gái,This daughter is very important.,Con gái này rất quan trọng.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,child,/ʧaɪld/,đứa trẻ,We talked about this child.,Chúng tôi đã nói về đứa trẻ này.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,baby,/ˈbeɪbi/,em bé,I think this baby is good.,Tôi nghĩ em bé này tốt.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,brother,/ˈbrəðər/,"anh, em trai",We talked about this brother.,Chúng tôi đã nói về anh này.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,sister,/ˈsɪstər/,"chị, em gái",We talked about this sister.,Chúng tôi đã nói về chị này.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,grandmother,/ˈɡrændˌməðər/,bà,This grandmother is very important.,Bà này rất quan trọng.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,grandfather,/ˈɡrænˌfɑðər/,ông,I think this grandfather is good.,Tôi nghĩ ông này tốt.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,husband,/ˈhəzbənd/,chồng,We talked about this husband.,Chúng tôi đã nói về chồng này.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,wife,/waɪf/,vợ,I think this wife is good.,Tôi nghĩ vợ này tốt.,Family,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,friend,/frɛnd/,bạn,We talked about this friend.,Chúng tôi đã nói về bạn này.,Social,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,man,/mæn/,người đàn ông,This man is very important.,Người đàn ông này rất quan trọng.,Daily Life,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,woman,/ˈwʊmən/,người phụ nữ,This woman is very important.,Người phụ nữ này rất quan trọng.,Daily Life,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,boy,/bɔɪ/,cậu bé,This boy is very important.,Cậu bé này rất quan trọng.,Daily Life,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,girl,/ɡərl/,cô bé,I think this girl is good.,Tôi nghĩ cô bé này tốt.,Daily Life,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,people,/ˈpipəl/,mọi người,I think this people is good.,Tôi nghĩ mọi người này tốt.,Social,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,person,/ˈpərsən/,người,This person is very important.,Người này rất quan trọng.,Social,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,name,/neɪm/,tên,I think this name is good.,Tôi nghĩ tên này tốt.,Communication,,Beginner,Very High,noun - everyday noun
en,VOCABULARY,good,/ɡʊd/,tốt,This is very good.,Cái này rất tốt.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,bad,/bæd/,"xấu, tệ",This is very bad.,Cái này rất xấu.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,big,/bɪɡ/,"to, lớn",This is very big.,Cái này rất to.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,small,/smɔl/,nhỏ,It looks very small.,Nó trông rất nhỏ.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,new,/nu/,mới,This is very new.,Cái này rất mới.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,old,/oʊld/,"cũ, già",It looks very old.,Nó trông rất cũ.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,hot,/hɑt/,nóng,It looks very hot.,Nó trông rất nóng.,Weather,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,cold,/koʊld/,lạnh,It looks very cold.,Nó trông rất lạnh.,Weather,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,happy,/ˈhæpi/,"vui, hạnh phúc",I feel very happy today.,Hôm nay tôi cảm thấy rất vui.,Emotion,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,sad,/sæd/,buồn,She feels very sad.,Cô ấy cảm thấy rất buồn.,Emotion,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,easy,/ˈizi/,dễ,It looks very easy.,Nó trông rất dễ.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,hard,/hɑrd/,"khó, cứng",It looks very hard.,Nó trông rất khó.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,fast,/fæst/,nhanh,It looks very fast.,Nó trông rất nhanh.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,slow,/sloʊ/,chậm,This is very slow.,Cái này rất chậm.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,long,/lɔŋ/,dài,This is very long.,Cái này rất dài.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,short,/ʃɔrt/,"ngắn, thấp",This is very short.,Cái này rất ngắn.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,high,/haɪ/,cao,It looks very high.,Nó trông rất cao.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,low,/loʊ/,thấp,It looks very low.,Nó trông rất thấp.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,right,/raɪt/,"đúng, phải",It looks very right.,Nó trông rất đúng.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,wrong,/rɔŋ/,sai,It looks very wrong.,Nó trông rất sai.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,nice,/nis/,"đẹp, tốt bụng",This is very nice.,Cái này rất đẹp.,Emotion,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,beautiful,/ˈbjutəfəl/,đẹp,It looks very beautiful.,Nó trông rất đẹp.,Emotion,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,pretty,/ˈprɪti/,xinh,This is very pretty.,Cái này rất xinh.,Emotion,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,dirty,/ˈdərti/,bẩn,It looks very dirty.,Nó trông rất bẩn.,Home,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,full,/fʊl/,"đầy, no",This is very full.,Cái này rất đầy.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,empty,/ˈɛmti/,"trống, rỗng",It looks very empty.,Nó trông rất trống.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,ready,/ˈrɛdi/,sẵn sàng,I am ready now.,Tôi đã sẵn sàng.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,busy,/ˈbɪzi/,bận,I am very busy today.,Hôm nay tôi rất bận.,Daily Life,,Beginner,Very High,adjective - common adjective
en,VOCABULARY,free,/fri/,"rảnh, miễn phí",Are you free today?,Hôm nay bạn rảnh không?,Daily Life,,Beginner,Very High,adjective - common adjective
