language,item_type,text,pronunciation,vietnamese_meaning,example,example_vietnamese,topic,situation,difficulty,frequency_level,notes
zh,VOCABULARY,张,zhāng,"tờ, tấm",一张纸。,Một tờ giấy.,Daily Life,,Beginner,Very High,measure word - measure word
zh,VOCABULARY,只,zhī,con (động vật),一只猫。,Một con mèo.,Daily Life,,Beginner,Very High,measure word - measure word
zh,VOCABULARY,条,tiáo,"con, cái (dài)",一条鱼。,Một con cá.,Daily Life,,Beginner,Very High,measure word - measure word
zh,VOCABULARY,件,jiàn,"cái (quần áo, việc)",一件衣服。,Một bộ quần áo.,Shopping,,Beginner,Very High,measure word - measure word
zh,VOCABULARY,杯,bēi,"cốc, ly",一杯水。,Một cốc nước.,Food,,Beginner,Very High,measure word - measure word
zh,VOCABULARY,块,kuài,"đồng (tiền), cục",十块钱。,Mười đồng.,Money,,Beginner,Very High,measure word - measure word
zh,VOCABULARY,岁,suì,tuổi,我二十岁。,Tôi hai mươi tuổi.,Time,,Beginner,Very High,measure word - measure word
zh,VOCABULARY,是,shì,là,我是学生。,Tôi là học sinh.,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,有,yǒu,có,我有一个问题。,Tôi có một câu hỏi.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,没有,méiyǒu,không có,我没有钱。,Tôi không có tiền.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,在,zài,ở,我在家。,Tôi ở nhà.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,会,huì,"biết, sẽ",我会游泳。,Tôi biết bơi.,Daily Life,,Beginner,Very High,modal verb - modal verb
zh,VOCABULARY,能,néng,có thể,我能帮你。,Tôi có thể giúp bạn.,Daily Life,,Beginner,Very High,modal verb - modal verb
zh,VOCABULARY,可以,kěyǐ,"có thể, được phép",可以进来吗？,Tôi vào được không?,Daily Life,,Beginner,Very High,modal verb - modal verb
zh,VOCABULARY,要,yào,"muốn, cần",我要一杯水。,Tôi muốn một cốc nước.,Daily Life,,Beginner,Very High,modal verb - modal verb
zh,VOCABULARY,想,xiǎng,"muốn, nhớ",我想回家。,Tôi muốn về nhà.,Emotion,,Beginner,Very High,verb - common verb
zh,VOCABULARY,应该,yīnggāi,nên,你应该休息。,Bạn nên nghỉ ngơi.,Daily Life,,Beginner,Very High,modal verb - modal verb
zh,VOCABULARY,喜欢,xǐhuan,thích,我喜欢喝茶。,Tôi thích uống trà.,Emotion,,Beginner,Very High,verb - common verb
zh,VOCABULARY,爱,ài,yêu,我想爱。,Tôi muốn yêu.,Emotion,,Beginner,Very High,verb - common verb
zh,VOCABULARY,觉得,juéde,"cảm thấy, cho rằng",我觉得很好。,Tôi thấy rất tốt.,Emotion,,Beginner,Very High,verb - common verb
zh,VOCABULARY,知道,zhīdào,biết,我知道了。,Tôi biết rồi.,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,去,qù,đi,我想去。,Tôi muốn đi.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,来,lái,đến,我想来。,Tôi muốn đến.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,吃,chī,ăn,我想吃。,Tôi muốn ăn.,Food,,Beginner,Very High,verb - common verb
zh,VOCABULARY,喝,hē,uống,我们一起喝吧。,Chúng ta cùng uống nhé.,Food,,Beginner,Very High,verb - common verb
zh,VOCABULARY,看,kàn,"xem, nhìn",我们一起看吧。,Chúng ta cùng xem nhé.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,听,tīng,nghe,我想听。,Tôi muốn nghe.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,说,shuō,nói,我想说。,Tôi muốn nói.,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,读,dú,đọc,你读吗？,Bạn đọc không?,Study,,Beginner,Very High,verb - common verb
zh,VOCABULARY,写,xiě,viết,你写吗？,Bạn viết không?,Study,,Beginner,Very High,verb - common verb
zh,VOCABULARY,学,xué,học,我想学。,Tôi muốn học.,Study,,Beginner,Very High,verb - common verb
zh,VOCABULARY,学习,xuéxí,học tập,你学习吗？,Bạn học tập không?,Study,,Beginner,Very High,verb - common verb
zh,VOCABULARY,做,zuò,làm,你做吗？,Bạn làm không?,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,买,mǎi,mua,我们一起买吧。,Chúng ta cùng mua nhé.,Shopping,,Beginner,Very High,verb - common verb
zh,VOCABULARY,卖,mài,bán,我们一起卖吧。,Chúng ta cùng bán nhé.,Shopping,,Beginner,Very High,verb - common verb
zh,VOCABULARY,开,kāi,"mở, lái",我们一起开吧。,Chúng ta cùng mở nhé.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,关,guān,"đóng, tắt",我想关。,Tôi muốn đóng.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,住,zhù,"ở, sống",我想住。,Tôi muốn ở.,Home,,Beginner,Very High,verb - common verb
zh,VOCABULARY,走,zǒu,"đi bộ, rời đi",你走吗？,Bạn đi bộ không?,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,跑,pǎo,chạy,你跑吗？,Bạn chạy không?,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,坐,zuò,ngồi,我想坐。,Tôi muốn ngồi.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,站,zhàn,đứng,我们一起站吧。,Chúng ta cùng đứng nhé.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,睡,shuì,ngủ,我想睡。,Tôi muốn ngủ.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,睡觉,shuìjiào,đi ngủ,我想睡觉。,Tôi muốn đi ngủ.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,起床,qǐchuáng,thức dậy,你起床吗？,Bạn thức dậy không?,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,工作,gōngzuò,làm việc,你工作吗？,Bạn làm việc không?,Work,,Beginner,Very High,verb - common verb
zh,VOCABULARY,休息,xiūxi,nghỉ ngơi,我们一起休息吧。,Chúng ta cùng nghỉ ngơi nhé.,Health,,Beginner,Very High,verb - common verb
zh,VOCABULARY,玩,wán,chơi,你玩吗？,Bạn chơi không?,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,给,gěi,"cho, đưa",给我水。,Đưa cho tôi nước.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,拿,ná,"cầm, lấy",我们一起拿吧。,Chúng ta cùng cầm nhé.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,找,zhǎo,tìm,我们一起找吧。,Chúng ta cùng tìm nhé.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,等,děng,đợi,我想等。,Tôi muốn đợi.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,帮,bāng,giúp,我们一起帮吧。,Chúng ta cùng giúp nhé.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,帮助,bāngzhù,giúp đỡ,你帮助吗？,Bạn giúp đỡ không?,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,用,yòng,dùng,我们一起用吧。,Chúng ta cùng dùng nhé.,Daily Life,,Beginner,Very High,verb - common verb
zh,VOCABULARY,问,wèn,hỏi,你问吗？,Bạn hỏi không?,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,回答,huídá,trả lời,你回答吗？,Bạn trả lời không?,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,叫,jiào,"gọi, tên là",我想叫。,Tôi muốn gọi.,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,打电话,dǎ diànhuà,gọi điện thoại,我想打电话。,Tôi muốn gọi điện thoại.,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,告诉,gàosu,nói cho biết,你告诉吗？,Bạn nói cho biết không?,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,认识,rènshi,quen biết,我想认识。,Tôi muốn quen biết.,Social,,Beginner,Very High,verb - common verb
zh,VOCABULARY,见,jiàn,gặp,你见吗？,Bạn gặp không?,Social,,Beginner,Very High,verb - common verb
zh,VOCABULARY,见面,jiànmiàn,gặp mặt,我们一起见面吧。,Chúng ta cùng gặp mặt nhé.,Social,,Beginner,Very High,verb - common verb
zh,VOCABULARY,爱好,àihào,sở thích,这个爱好很重要。,Sở thích này rất quan trọng.,Habit,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,好,hǎo,tốt,这个很好。,Cái này rất tốt.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,坏,huài,"xấu, hỏng",这个非常坏。,Cái này vô cùng xấu.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,大,dà,"to, lớn",这个很大。,Cái này rất to.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,小,xiǎo,nhỏ,这个非常小。,Cái này vô cùng nhỏ.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,多,duō,nhiều,这个很多。,Cái này rất nhiều.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,少,shǎo,ít,这个非常少。,Cái này vô cùng ít.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,新,xīn,mới,这个非常新。,Cái này vô cùng mới.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,旧,jiù,cũ,这个非常旧。,Cái này vô cùng cũ.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,老,lǎo,"già, cũ",这个很老。,Cái này rất già.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,年轻,niánqīng,trẻ,他很年轻。,Anh ấy rất trẻ.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,高,gāo,cao,这个很高。,Cái này rất cao.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,矮,ǎi,thấp,这个很矮。,Cái này rất thấp.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,长,cháng,dài,这个非常长。,Cái này vô cùng dài.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,短,duǎn,ngắn,这个很短。,Cái này rất ngắn.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,快,kuài,nhanh,这个非常快。,Cái này vô cùng nhanh.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,慢,màn,chậm,这个很慢。,Cái này rất chậm.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,热,rè,nóng,今天很热。,Hôm nay rất nóng.,Weather,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,冷,lěng,lạnh,今天很冷。,Hôm nay rất lạnh.,Weather,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,贵,guì,đắt,这个非常贵。,Cái này vô cùng đắt.,Shopping,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,便宜,piányi,rẻ,这个很便宜。,Cái này rất rẻ.,Shopping,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,好吃,hǎochī,ngon,这个很好吃。,Cái này rất ngon.,Food,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,漂亮,piàoliang,"đẹp, xinh",她很漂亮。,Cô ấy rất xinh.,Emotion,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,高兴,gāoxìng,vui mừng,我很高兴。,Tôi rất vui.,Emotion,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,累,lèi,mệt,我很累。,Tôi rất mệt.,Health,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,忙,máng,bận,我很忙。,Tôi rất bận.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,对,duì,đúng,他对我很好。,Anh ấy đối với tôi rất tốt.,Communication,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,错,cuò,sai,这个很错。,Cái này rất sai.,Communication,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,难,nán,khó,这个很难。,Cái này rất khó.,Study,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,容易,róngyì,dễ,这个非常容易。,Cái này vô cùng dễ.,Study,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,远,yuǎn,xa,这个非常远。,Cái này vô cùng xa.,Transportation,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,近,jìn,gần,这个很近。,Cái này rất gần.,Transportation,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,不,bù,không,我不去。,Tôi không đi.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,没,méi,"chưa, không",我没吃。,Tôi chưa ăn.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,很,hěn,rất,很好。,Rất tốt.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,太,tài,quá,太贵了。,Đắt quá.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,也,yě,cũng,我也去。,Tôi cũng đi.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,都,dōu,đều,我们都去。,Chúng tôi đều đi.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,还,hái,"vẫn, còn",我还没吃。,Tôi vẫn chưa ăn.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,再,zài,"lại, nữa",再说一次。,Nói lại lần nữa.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,就,jiù,"ngay, thì",我马上就来。,Tôi đến ngay.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,非常,fēicháng,vô cùng,非常好。,Rất tốt.,Communication,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,一起,yìqǐ,cùng nhau,我们一起去。,Chúng ta cùng đi.,Social,,Beginner,Very High,adverb - common adverb
zh,VOCABULARY,和,hé,và,我和你。,Tôi và bạn.,Communication,,Beginner,Very High,conjunction - core conjunction
zh,VOCABULARY,跟,gēn,"với, cùng",跟我来。,Đi theo tôi.,Communication,,Beginner,Very High,preposition - core preposition
zh,VOCABULARY,从,cóng,từ,我从家来。,Tôi đến từ nhà.,Daily Life,,Beginner,Very High,preposition - core preposition
zh,VOCABULARY,到,dào,đến,我到学校了。,Tôi đến trường rồi.,Daily Life,,Beginner,Very High,preposition - core preposition
zh,VOCABULARY,你好,nǐhǎo,xin chào,你好！,Xin chào!,Communication,,Beginner,Very High,phrase - useful phrase
zh,VOCABULARY,谢谢,xièxie,cảm ơn,谢谢你。,Cảm ơn bạn.,Communication,,Beginner,Very High,phrase - useful phrase
zh,VOCABULARY,对不起,duìbuqǐ,xin lỗi,对不起，我迟到了。,"Xin lỗi, tôi đến muộn.",Communication,,Beginner,Very High,phrase - useful phrase
zh,VOCABULARY,没关系,méiguānxi,không sao,没关系。,Không sao đâu.,Communication,,Beginner,Very High,phrase - useful phrase
zh,VOCABULARY,再见,zàijiàn,tạm biệt,再见！,Tạm biệt!,Communication,,Beginner,Very High,phrase - useful phrase
zh,VOCABULARY,不客气,búkèqi,không có gì,不客气。,Không có gì.,Communication,,Beginner,Very High,phrase - useful phrase
zh,VOCABULARY,请,qǐng,"mời, xin",请进。,Mời vào.,Communication,,Beginner,Very High,verb - common verb
zh,VOCABULARY,请问,qǐngwèn,xin hỏi,请问，洗手间在哪儿？,"Xin hỏi, nhà vệ sinh ở đâu?",Communication,,Beginner,Very High,phrase - useful phrase
zh,VOCABULARY,人,rén,người,你喜欢这个人吗？,Bạn thích người này không?,Social,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,家,jiā,"nhà, gia đình",这个家很重要。,Nhà này rất quan trọng.,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,爸爸,bàba,bố,我们谈谈这个爸爸吧。,Chúng ta nói về bố này nhé.,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,妈妈,māma,mẹ,你喜欢这个妈妈吗？,Bạn thích mẹ này không?,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,哥哥,gēge,anh trai,我们谈谈这个哥哥吧。,Chúng ta nói về anh trai này nhé.,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,姐姐,jiějie,chị gái,你喜欢这个姐姐吗？,Bạn thích chị gái này không?,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,弟弟,dìdi,em trai,你喜欢这个弟弟吗？,Bạn thích em trai này không?,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,妹妹,mèimei,em gái,你喜欢这个妹妹吗？,Bạn thích em gái này không?,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,儿子,érzi,con trai,你喜欢这个儿子吗？,Bạn thích con trai này không?,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,女儿,nǚ'ér,con gái,我们谈谈这个女儿吧。,Chúng ta nói về con gái này nhé.,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,孩子,háizi,đứa trẻ,这个孩子很重要。,Đứa trẻ này rất quan trọng.,Family,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,朋友,péngyou,bạn bè,这个朋友很重要。,Bạn bè này rất quan trọng.,Social,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,老师,lǎoshī,giáo viên,这个老师很重要。,Giáo viên này rất quan trọng.,Education,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,学生,xuésheng,học sinh,这个学生很重要。,Học sinh này rất quan trọng.,Education,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,同学,tóngxué,bạn học,我们谈谈这个同学吧。,Chúng ta nói về bạn học này nhé.,Education,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,医生,yīshēng,bác sĩ,我们谈谈这个医生吧。,Chúng ta nói về bác sĩ này nhé.,Health,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,男,nán,nam,这个很男。,Cái này rất nam.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,女,nǚ,nữ,这个很女。,Cái này rất nữ.,Daily Life,,Beginner,Very High,adjective - common adjective
zh,VOCABULARY,先生,xiānsheng,"ông, ngài",这个先生很重要。,Ông này rất quan trọng.,Social,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,名字,míngzi,tên,这个名字很重要。,Tên này rất quan trọng.,Communication,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,水,shuǐ,nước,你喜欢这个水吗？,Bạn thích nước này không?,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,茶,chá,trà,我们谈谈这个茶吧。,Chúng ta nói về trà này nhé.,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,咖啡,kāfēi,cà phê,你喜欢这个咖啡吗？,Bạn thích cà phê này không?,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,饭,fàn,cơm,我们谈谈这个饭吧。,Chúng ta nói về cơm này nhé.,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,米饭,mǐfàn,cơm trắng,这个米饭很重要。,Cơm trắng này rất quan trọng.,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,菜,cài,"thức ăn, rau",你喜欢这个菜吗？,Bạn thích thức ăn này không?,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,水果,shuǐguǒ,trái cây,我们谈谈这个水果吧。,Chúng ta nói về trái cây này nhé.,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,苹果,píngguǒ,táo,我们谈谈这个苹果吧。,Chúng ta nói về táo này nhé.,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,鸡蛋,jīdàn,trứng gà,你喜欢这个鸡蛋吗？,Bạn thích trứng gà này không?,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,肉,ròu,thịt,你喜欢这个肉吗？,Bạn thích thịt này không?,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,鱼,yú,cá,你喜欢这个鱼吗？,Bạn thích cá này không?,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,面包,miànbāo,bánh mì,你喜欢这个面包吗？,Bạn thích bánh mì này không?,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,牛奶,niúnǎi,sữa bò,这个牛奶很重要。,Sữa bò này rất quan trọng.,Food,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,钱,qián,tiền,你喜欢这个钱吗？,Bạn thích tiền này không?,Money,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,书,shū,sách,我们谈谈这个书吧。,Chúng ta nói về sách này nhé.,Study,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,笔,bǐ,bút,我们谈谈这个笔吧。,Chúng ta nói về bút này nhé.,Study,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,纸,zhǐ,giấy,我们谈谈这个纸吧。,Chúng ta nói về giấy này nhé.,Study,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,字,zì,chữ,你喜欢这个字吗？,Bạn thích chữ này không?,Study,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,电话,diànhuà,điện thoại,这个电话很重要。,Điện thoại này rất quan trọng.,Technology,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,手机,shǒujī,điện thoại di động,你喜欢这个手机吗？,Bạn thích điện thoại di động này không?,Technology,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,电脑,diànnǎo,máy tính,我们谈谈这个电脑吧。,Chúng ta nói về máy tính này nhé.,Technology,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,电视,diànshì,ti vi,这个电视很重要。,Ti vi này rất quan trọng.,Technology,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,桌子,zhuōzi,cái bàn,这个桌子很重要。,Cái bàn này rất quan trọng.,Home,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,椅子,yǐzi,cái ghế,你喜欢这个椅子吗？,Bạn thích cái ghế này không?,Home,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,门,mén,cửa,这个门很重要。,Cửa này rất quan trọng.,Home,,Beginner,Very High,noun - everyday noun
zh,VOCABULARY,窗户,chuānghu,cửa sổ,这个窗户很重要。,Cửa sổ này rất quan trọng.,Home,,Beginner,Very High,noun - everyday noun
